POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,Year
,,,,,,,,,,,,,,,,WEEK TEN,WEEK TEN,WEEK TEN,WEEK TEN,WEEK TEN,WEEK TEN,2017
,,,,,,,,,,,,,,,,3.9,6.729M,LSUAlabama,SEC,"Nov. 4, 8:00 PM",CBS,2017
,,,,,,,,,,,,,,,,2.3,(4.112M),Ohio StateIowa,Big Ten,"Nov. 4, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.1,3.482M,S. CarolinaGeorgia,SEC,"Nov. 4, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,1.9,3.102M,Penn StateMichigan St.,Big Ten,"Nov. 4, Noon",FOX,2017
,,,,,,,,,,,,,,,,1.8,3.011M,Va. TechMiami,ACC,"Nov. 4, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,1.7,2.850M,MinnesotaMichigan,Big Ten,"Nov. 4, 8:30 PM",FOX,2017
,,,,,,,,,,,,,,,,1.8,2.834M,WisconsinIndiana,Big Ten,"Nov. 4, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.8,2.831M,ClemsonN.C. State,ACC,"Nov. 4, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,1.6,(2.631M),AuburnTexas A&M,SEC,"Nov. 4, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.4,2.486M,OklahomaOklahoma St.,Big 12,"Nov. 4, 4:00 PM",FS1,2017
,,,,,,,,,,,,,,,,1.3,1.987M,StanfordWashington St.,Pac-12,"Nov. 4, 3:30 PM**",FOX,2017
