Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2010,Illinois,4,2,197,110,87,32.8333333333333,18.3333333333333,54187.6666666667
2010,Indiana,3,3,187,151,36,31.1666666666667,25.1666666666667,41953
2010,Iowa State,4,3,205,,,29.2857142857143,,45395.2857142857
2010,Kansas,3,4,257,,,36.7142857142857,,44850.7142857143
2010,Kansas State,4,2,162,145,17,27,24.1666666666667,49816.1666666667
2010,Kent State,4,2,168,120,48,28,20,16151.8333333333
2010,Louisiana,1,4,111,204,-93,22.2,40.8,17383
2010,Louisiana Tech,2,4,158,166,-8,26.3333333333333,27.6666666666667,19484.6666666667
2010,Marshall,4,2,141,130,11,23.5,21.6666666666667,27046
2010,Memphis,1,4,146,168,-22,29.2,33.6,24932.2
2010,Miami (OH),4,1,122,89,33,24.4,17.8,15518.6
2010,Michigan State,7,0,243,121,122,34.7142857142857,17.2857142857143,73556.2857142857
2010,Middle Tennessee,3,3,235,188,47,33.5714285714286,26.8571428571429,16750.4285714286
2010,Missouri,6,0,228,98,130,38,16.3333333333333,61540
2010,NC State,4,1,180,108,72,36,21.6,56820
2010,Nebraska,6,1,213,87,126,30.4285714285714,12.4285714285714,85664
2010,Nevada,7,0,329,153,176,47,21.8571428571429,19576
2010,New Mexico,1,5,122,273,-151,20.3333333333333,45.5,20888.3333333333
2010,Northern Illinois,5,0,197,85,112,39.4,17,17760.2
2010,Northwestern,3,2,132,100,32,26.4,20,35527.6
2010,Notre Dame,4,3,183,145,38,26.1428571428571,20.7142857142857,80795
2010,Ohio,5,1,205,113,92,34.1666666666667,18.8333333333333,19046.1666666667
2010,Oklahoma,6,0,245,82,163,40.8333333333333,13.6666666666667,84737.6666666667
2010,Ole Miss,2,4,213,232,-19,35.5,38.6666666666667,56357.5
2010,Oregon State,4,1,151,101,50,30.2,20.2,45317
2010,Penn State,5,2,201,140,61,28.7142857142857,20,104233.714285714
2010,Rutgers,2,4,108,111,-3,18,18.5,47012.6666666667
2010,San Diego State,5,1,221,103,118,36.8333333333333,17.1666666666667,31813.5
2010,SMU,4,1,135,108,27,27,21.6,18475.8
2010,South Alabama,7,0,299,109,190,42.7142857142857,15.5714285714286,18765.4285714286
2010,Southern Miss,4,2,257,174,83,42.8333333333333,29,29400
2010,Syracuse,2,4,247,103,144,41.1666666666667,17.1666666666667,40092.5
2010,Texas A&M,6,1,390,,,55.7142857142857,,82476.8571428572
2010,Toledo,4,2,179,111,68,29.8333333333333,18.5,19333.3333333333
2010,Troy,4,1,159,145,14,31.8,29,18947.2
2010,UCF,4,2,212,122,90,35.3333333333333,20.3333333333333,39376
2010,UCLA,3,3,160,,,26.6666666666667,,60375.5
